CountryName,CountryCode,Date,S1_School closing,S1_IsGeneral,S1_Notes,S2_Workplace closing,S2_IsGeneral,S2_Notes,S3_Cancel public events,S3_IsGeneral,S3_Notes,S4_Close public transport,S4_IsGeneral,S4_Notes,S5_Public information campaigns,S5_IsGeneral,S5_Notes,S6_Restrictions on internal movement,S6_IsGeneral,S6_Notes,S7_International travel controls,S7_Notes,S8_Fiscal measures,S8_Notes,S9_Monetary measures,S9_Notes,S10_Emergency investment in health care,S10_Notes,S11_Investment in Vaccines,S11_Notes,S12_Testing framework,S12_Notes,S13_Contact tracing,S13_Notes,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,
Aruba,ABW,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,0.00,,0.00,,0.00,,0.00,,0,,0,,,,0.00,0.00,	
Aruba,ABW,20200102,0,,,0,,,0,,,0,,,0,,,0,,,0,,0.00,,0.00,,0.00,,0.00,,0,,0,,,,0.00,0.00,	
Aruba,ABW,20200103,0,,,0,,,0,,,0,,,0,,,0,,,0,,0.00,,0.00,,0.00,,0.00,,0,,0,,,,0.00,0.00,	
Aruba,ABW,20200104,0,,,0,,,0,,,0,,,0,,,0,,,0,,0.00,,0.00,,0.00,,0.00,,0,,0,,,,0.00,0.00,	
Aruba,ABW,20200105,0,,,0,,,0,,,0,,,0,,,0,,,0,,0.00,,0.00,,0.00,,0.00,,0,,0,,,,0.00,0.00,	
Aruba,ABW,20200106,0,,,0,,,0,,,0,,,0,,,0,,,0,,0.00,,0.00,,0.00,,0.00,,0,,0,,,,0.00,0.00,	
Aruba,ABW,20200107,0,,,0,,,0,,,0,,,0,,,0,,,0,,0.00,,0.00,,0.00,,0.00,,0,,0,,,,0.00,0.00,	
Aruba,ABW,20200108,0,,,0,,,0,,,0,,,0,,,0,,,0,,0.00,,0.00,,0.00,,0.00,,0,,0,,,,0.00,0.00,	
Aruba,ABW,20200109,0,,,0,,,0,,,0,,,0,,,0,,,0,,0.00,,0.00,,0.00,,0.00,,0,,0,,,,0.00,0.00,	
Aruba,ABW,20200110,0,,,0,,,0,,,0,,,0,,,0,,,0,,0.00,,0.00,,0.00,,0.00,,0,,0,,,,0.00,0.00,	
Aruba,ABW,20200111,0,,,0,,,0,,,0,,,0,,,0,,,0,,0.00,,0.00,,0.00,,0.00,,0,,0,,,,0.00,0.00,	
